,0,1,2,3,4,5,6,7,8,9,10
3718,Saarland University,Department of Language Science and Technology,"$39,500",,2017-2018,3rd,,"$40,000",,,$500
3719,The Catholic University of America,Psychology,"$20,000",0.70,2010-2011,,,"$20,000",,,
3720,University of Georgia (UGA),Microbiology,"$23,334",1.10,2016-2017,3rd,"Student healthcare, not including dental or mental health, costs $1228.00 and has since increased. <span class=""truncated""> Fees reflect the minimum fees for registering for researching credits. Fees increase once you include coursework.</span>","$25,000",,,"$1,666"
3721,Washington University in St. Louis (Wash U),"Evolution, ecology, and population biology ","$32,000",1.77,2013-2014,5th,,"$32,000",,,
3722,University of Tennessee - Knoxville,Earth and Planetary Sciences,"$13,000",0.61,2017-2018,5th,,,"$15,000",,"$2,000"
3723,University of Tennessee - Knoxville,Earth and Planetary Sciences,"$-5,000",-0.24,2017-2018,5th,,,"$15,000",,"$20,000"
3724,Arizona State University (ASU),Civil engineering ,"$30,300",1.37,2017-2018,1st,,"$32,000",,,"$1,700"
3725,University of Tuebingen,Institute of Medical Psychology,"$31,000",,2017-2018,6th and up,,"$31,000",,,
3726,Montreal,Psychiatry ,"$16,000",,2016-2017,1st,,"$20,000",,,"$4,000"
3727,University of Göttingen,Psychology,"$29,900",,2017-2018,2nd,,"$30,800",,,$900
3728,Stanford University (SU),Psychology,"$38,308",1.33,2017-2018,2nd,,"$38,308",,,
3729,University of Rochester (UR),Brain and Cognitive Sciences ,"$32,000",1.50,2016-2017,2nd,,"$32,000",,,
3730,Rutgers the State University of New Jersey - New Brunswick,Oceanography,"$28,300",1.10,2016-2017,2nd,,"$29,500",,,"$1,200"
3731,University of Oregon (UO),Psychology ,"$21,000",1.00,2017-2018,1st,,,"$21,000",,
3732,University of Minnesota - Twin Cities (UM),Agronomy and Plant Genetics,"$48,426",2.11,2017-2018,2nd,,"$48,426",,,
3733,University of Pennsylvania,,"$50,000",2.07,2016-2017,2nd,,"$50,000",,,
3734,Massachusetts Institute of Technology (MIT),Civil Environmental Engineering (CEE),"$43,700",1.56,2016-2017,1st,No health insurance or other benefits.,"$43,700",,,
3735,Florida International University (FIU),Psychology,"$19,800",0.83,2016-2017,2nd,I&#39;m paid more than some in my program because of the grant I&#39;m on.,"$22,000",,,"$2,200"
3736,Harvard University (HU),Psychology,"$33,600",1.17,2017-2018,2nd,,"$33,600",,,
3737,Florida State University (FSU),Neuroscience,"$19,800",0.85,2017-2018,1st,,"$22,500",,,"$2,700"
3738,University of Pennsylvania,Biomedical Graduate Studies,"$32,000",1.33,2017-2018,,,"$32,000",,,
3739,University of Utah,Geology and Geophysics ,"$14,000",0.71,2006-2007,1st,,,"$14,000",,
3740,University of Birmingham (UK),Law,"$15,181",,2017-2018,2nd,,"$15,181",,,
3741,Rutgers the State University of New Jersey - New Brunswick,DMCS,"$28,800",1.10,2012-2013,2nd,,"$29,000",,,$200
3742,Louisiana State University - Baton Rouge,Clinical psychology ,"$18,000",0.83,2017-2018,2nd,,"$19,000",,,"$1,000"
3743,Yale University (YU),Biomedical Engineering,"$33,850",1.37,2017-2018,1st,,"$33,850",,,
3744,University of North Carolina - Chapel Hill (UNC),Biology,"$20,500",0.92,2017-2018,5th,,,"$19,500","$3,000","$2,000"
3745,University of Amsterdam,Psychology,"$3,337",,2017-2018,3rd,,"$3,337",,,
3746,Carnegie Mellon University (CMU),Mechanical Engineering,"$27,998",1.35,2016-2017,3rd,Health insurance not included in the fees. It is about ~$2000 for university-provided insurance.,"$28,200",,,$202
3747,Johns Hopkins University (JHU),Political Science,"$29,000",1.13,2016-2017,1st,,"$29,000",,,
3748,University of California - Irvine (UCI),Ecology and Evolutionary Biology,"$19,000",0.65,2016-2017,4th,,,"$19,000",,
3749,Indiana University,Anatomy and Cell Biology,"$27,000",1.25,2017-2018,2nd,,"$27,000",,,
3750,University of Southern California (USC),Biological sciences,"$340,000",13.14,2016-2017,4th,,"$340,000",,,
3751,Iowa State University (ISU),Bioinformatics and Computational Biology,"$22,700",1.07,2016-2017,4th,,"$24,000",,,"$1,300"
3752,University of California - Berkeley,Plant and Microbial Biology,"$27,416",1.15,2010-2011,3rd,,"$27,416",,,
3753,New York University (NYU),Chemistry,"$30,546",1.15,2011-2012,1st,"$1000 moving bonus at the start of year 1. Subsidized housing in the first year, then nothing <span class=""truncated""> after. No subsidized transit, no dental insurance, no disability insurance.
Summer pay was highly lab-dependent (i.e., $0 or full amount). Salary went up a little per year. Option to TA from 2nd half of 1st year through 1st half of 3rd year (amounting to an extra ~$10-16k/semester extra). Some labs don&#39;t pay after 4th year.</span>",,"$23,046","$7,500",
3754,Purdue University - West Lafayette,Computer Science,"$21,900",1.04,2017-2018,2nd,,,"$17,500","$6,300","$1,900"
3755,University of British Columbia,Microbiology and Immunology,"$28,983",,2017-2018,3rd,"Tri-council scholarship,  minimum guaranteed stipend for the department is 21, 000 CAD","$35,000",,,"$6,017"
3756,Rockefeller University,,"$39,000",1.31,2016-2017,4th,,"$39,000",,,
3757,University of Massachusetts - Amherst (UMass),Kinesiology ,"$20,984",0.92,2017-2018,3rd,,"$22,984",,,"$2,000"
3758,University of Texas Health Science Center - Houston,MD/PhD,"$32,000",1.46,2016-2017,4th,,"$32,000",,,
3759,University of Michigan - Ann Arbor (UM),Microbiology and immunology ,"$21,000",0.91,2017-2018,1st,,,"$21,000",,
3760,Duke University (DU),Genetics and Genomics,"$27,800",1.48,2012-2013,5th,,"$28,000",,,$200
3761,Cornell University (CU),PBSB,"$36,000",1.48,2016-2017,4th,,"$36,000",,,
3762,University of Chicago (UC),Comparative Human Development,"$27,448",1.13,2017-2018,2nd,,"$28,000",,,$552
3763,Harvard University (HU),Systems Biology,"$37,260",1.30,2017-2018,6th and up,,"$37,260",,,
3764,Florida State University (FSU),Social Work,"$15,000",0.76,2014-2015,,,"$15,000",,,
3765,Michigan State University (MSU),Psychology ,"$24,000",1.30,2010-2011,1st,"I had a University Distinguishing Fellowship, which provided my stipend for the first and last year <span class=""truncated""> and the three years in between I had to TA/GA.</span>","$24,000",,,
3766,University of Washington (UW),Electrical Engineer,"$29,900",1.28,2017-2018,5th,,"$31,000",,,"$1,100"
3767,Auburn University (AU),"Anatomy, Physiology, and Pharmacology","$20,200",0.93,2017-2018,3rd,,"$20,200",,,
3768,University of Texas Southwestern Medical Center - Dallas,Internal medicine,"$47,487",2.20,2016-2017,1st,,"$47,487",,,
3769,Harvard University (HU),Neurobiology/Program in Neuroscience ,"$37,260",1.30,2017-2018,6th and up,,"$37,260",,,
3770,St. Louis University (SLU),Psychology,"$21,500",1.04,2016-2017,2nd,,"$22,000",,,$500
3771,St. Louis University (SLU),Psychology,"$21,500",1.04,2016-2017,1st,,"$22,000",,,$500
3772,KTH Royal Institute of Technology,Theoretical computational biophysics,"$31,300",,2015-2016,5th,,"$41,000",,,"$9,700"
3773,CUNY Graduate School and University Center,Spanish,"$26,000",0.87,2017-2018,1st,,"$26,000",,,
3774,University of Tennessee - Knoxville,Animal science,"$11,800",0.56,2016-2017,1st,,"$13,800",,,"$2,000"
3775,University of California - San Diego (UCSD),Mechanical engineering,"$2,400",0.09,2017-2018,1st,,"$2,400",,,
3776,University of Missouri (MU),Biological Sciences,"$27,000",1.31,2016-2017,4th,"This is a 4 year fellowship through the University that is offered to 2-8 students/year in the life <span class=""truncated""> sciences at MU</span>","$27,000",,,
3777,University of Washington (UW),Speech and Hearing Sciences ,"$34,000",1.46,2016-2017,4th,I am funded through the NSF GRFP,"$34,000",,,
3778,Indiana University- Purdue University - Indianapolis (IUPUI),IBMG,"$27,000",1.31,2017-2018,1st,,"$27,000",,,
3779,University of North Carolina - Chapel Hill (UNC),Neuroscience,"$31,000",1.39,2017-2018,2nd,,"$31,000",,,
3780,University of Nebraska - Omaha (UNO),Applied Math w/focus on Financial Derivatives ,"$75,500",3.73,2016-2017,,Buffett Scholar,"$77,500",,,"$2,000"
3781,University of Pittsburgh,Math,"$50,000",2.42,2016-2017,3rd,,"$56,000",,,"$6,000"
3782,Washington University in St. Louis (Wash U),DBBS,"$30,000",1.45,2017-2018,1st,,"$30,000",,,
3783,University of California - Irvine (UCI),Anatomy &amp; Neurobiology,"$32,000",1.09,2017-2018,3rd,,"$32,000",,,
3784,Cambridge University,Genetics,"$14,500",,2017-2018,1st,,"$14,500",,,
3785,University of California - Riverside (UCR),Entomology ,"$19,600",0.81,2016-2017,3rd,,"$21,000",,,"$1,400"
3786,Dalhousie University,Biology,"$14,000",,2016-2017,1st,,"$21,000",,,"$7,000"
3787,Lund University,Biology,"$1,815",,2017-2018,3rd,,"$1,815",,,
3788,University of South Florida,Music,"$7,250",,2017-2018,1st,,,"$7,250",,
3789,Brandeis University,Neuroscience,"$30,000",1.07,2016-2017,6th and up,,"$30,000",,,
3790,Creighton University (CU),Biomedical Sciences,"$26,481",1.31,2016-2017,5th,,"$26,481",,,
3791,University of California - Berkeley,Architecture,"$26,000",0.94,2017-2018,1st,,,"$22,500","$3,500",
3792,University of Connecticut (UConn),Eeb,"$47,000",1.93,2016-2017,2nd,,"$47,000",,,
3793,Georgetown University,Biology ,"$32,000",1.04,2017-2018,1st,"Health care is also covered. Tuition is fully covered. Take home after taxes is about $2000 / month <span class=""truncated""> and that is livable. </span>","$32,000",,,
3794,Vanderbilt University,,"$26,500",1.15,2016-2017,2nd,Includes health insurance. Summer funding not guaranteed but frequently available.,,"$26,500",,
3795,Worcester Polytechnic Institute (WPI),Chemical engineering,"$29,000",1.29,2017-2018,3rd,,"$30,000",,,"$1,000"
3796,,,"$29,000",,2016-2017,,,"$29,000",,,
3797,University of Iowa (UI),History,"$19,000",0.86,2017-2018,1st,,,"$19,000",,
