,0,1,2,3,4,5,6,7,8,9,10
7956,Duke University (DU),Mechanical Engineering and Materials Science,"$31,500",1.42,2020-2021,1st,Health insurance included. ,"$32,000",,,$500
7957,Washington University in St. Louis (Wash U),DBBS ,"$30,500",1.48,2019-2020,4th,,"$30,500",,,
7958,Pennsylvania State University (Penn State),College of Communication,"$26,010",1.16,2020-2021,1st,"Mass Communication 
80% insurance, $1,500 over the summer with opportunity to earn more.","$26,010",,,
7959,University of Texas - Dallas (UTD),Public Affairs,"$18,000",0.83,2019-2020,1st,Tuition waived,"$18,000",,,
7960,University of South Carolina (USC),Linguistics,"$20,000",0.89,2020-2021,1st,,"$20,000",,,
7961,University of Southern California (USC),Computer Science,"$34,000",1.31,2019-2020,5th,,"$34,000",,,
7962,Princeton University,Sociology,"$35,500",1.40,2020-2021,1st,"Additional $3,000 in August for years 1 and 2","$35,500",,,
7963,University of Texas - Austin (UT),Biomedical Engineering,"$23,000",1.01,2020-2021,5th,,"$23,000",,,
7964,University of Utah,Electrical and Computer Engineering,"$23,820",1.07,2020-2021,1st,"There are some fees, unsure how it works. Tuition is free up to the standard rate, student must pay <span class=""truncated""> the difference if the credit cost is higher than the standard.</span>","$23,820",,,
7965,University of Texas - Austin (UT),Marine Science ,"$27,000",1.18,2020-2021,2nd,,"$27,000",,,
7966,Michigan State University (MSU),Electrical Engineering,"$29,000",1.41,2020-2021,1st,,"$29,000",,,
7967,University of Michigan - Ann Arbor (UM),Biostatistics,"$24,498",1.06,2020-2021,1st,Full insurance,,"$24,498",,
7968,Ohio State University (OSU),Statistics,"$20,623",1.03,2020-2021,1st,"Correction to previous entry -- this is the 9 month pay, not the 12 month. 85% of health insurance <span class=""truncated""> monthly payments</span>",,"$21,123",,$500
7969,University of Michigan - Ann Arbor (UM),Philosophy,"$28,780",1.25,2020-2021,1st,"Total per year guaranteed for 4  years: 28,780 (including summer fellowship of $7,000, mix of <span class=""truncated""> fellowship and TAship). For the remaining 2 years, only fall and winter semesters are guaranteed ($21,780), and could possibly teach in the summers for an additional $8,170 (so year total would be $29,950).</span>",,"$21,780","$7,000",
7970,Ohio State University (OSU),Statistics,"$20,623",1.03,2020-2021,1st,85% of health insurance monthly payments,"$21,123",,,$500
7971,Norwegian University of Science and Technology,Computer Science,"$51,142",,2020-2021,1st,,"$51,142",,,
7972,King&#39;s College London,Wellcome Trust PhD  Regenerative Medicine,"$32,000",,2020-2021,1st,"Average £24816 across 4 years,  £10,000 for research consumables, additional &#39;transition&#39; fund, <span class=""truncated""> £23400 for international tuition fees.</span>","$32,000",,,
7973,Purdue University - West Lafayette,Physics,"$19,000",0.90,2020-2021,1st,,,"$19,000",,
7974,University of Texas - Austin (UT),Mathematics,"$28,654",1.26,2020-2021,1st,Requried 2 months of summer study in Austin.,"$28,654",,,
7975,University of Notre Dame (ND),Mathematics,"$25,539",1.25,2020-2021,1st,"1st year fellowship (no teaching duties). 12 month stipend, but no summer duties.","$25,614",,,$75
7976,University of Colorado - Boulder (UCB),Chemistry,"$27,868",1.09,2020-2021,1st,"Additional taxes taken out over summer, not guaranteed RA, could be a TA over summer. ",,"$23,841","$7,947","$3,920"
7977,Stanford University (SU),Chemistry,"$44,000",1.53,2020-2021,5th,"Have NDSEG which pays 38.4k/year, each year the stipend at Stanford has increased above that so my <span class=""truncated""> PI pays the difference. Fellowship also contributes $1500 in health care (insurance through school is $2.8k) and pays the student fees (~$220  health services fee, $44 student activities fee, per quarter)</span>","$44,000",,,
7978,University of Louisville (U of L),Social Work,"$21,000",1.02,2020-2021,,,"$21,000",,,
7979,University of Wisconsin - Madison (UW),Risk and Insurance,"$27,300",1.20,2020-2021,1st,2-year non-service graduate fellowship and 3-year graduate assistantship ,,"$27,300",,
7980,Indiana University,Business,"$20,500",0.95,2020-2021,2nd,,,"$22,000",,"$1,500"
7981,Auburn University (AU),Management,"$28,000",1.29,2020-2021,1st,,,"$21,000","$7,000",
7982,Northwestern University (NU),Driskill Graduate Program,"$33,504",1.38,2020-2021,1st,,"$33,504",,,
7983,Texas A&amp;amp;M; University - College Station,Statistics,"$22,000",,2020-2021,1st,,,"$22,000",,
7984,Georgetown University,Physics,"$34,500",1.12,2020-2021,1st,,,"$29,000","$5,500",
7985,Northwestern University (NU),Pharmacology,"$31,500",1.30,2020-2021,5th,,"$32,000",,,$500
7986,Washington University in St. Louis (Wash U),PNP,"$26,700",1.29,2020-2021,1st,,"$26,700",,,
7987,University of Michigan - Ann Arbor (UM),electrical and computer engineering,"$31,629",1.37,2020-2021,4th,,"$31,629",,,
7988,Weill Cornell Medicine,Neuroscience,"$42,000",,2019-2020,3rd,,"$42,000",,,
7989,Washington University in St. Louis (Wash U),Social Work,"$35,000",1.69,2020-2021,1st,Olin Fellowship. No fees that I know of (yet?).,"$35,000",,,
7990,Johns Hopkins University (JHU),Education,"$28,000",1.09,2020-2021,4th,"health, dental, and vision insurance included","$28,000",,,
7991,University of Vermont (UVM),Experimental Psychology,"$28,000",1.08,2019-2020,,,"$28,000",,,
7992,University of Pittsburgh,chemistry,"$31,000",1.50,2020-2021,1st,,"$31,000",,,
7993,Purdue University - West Lafayette,Electrical &amp; Computing Engineering,"$25,200",1.19,2020-2021,,,"$25,200",,,
7994,University of Texas - San Antonio (UTSA),Cell and Molecular biology,"$28,000",1.35,2020-2021,1st,,"$28,000",,,
7995,Indiana University,Medical genetics,"$24,000",1.11,2020-2021,,,"$29,000",,,"$5,000"
7996,University of Oklahoma (OU),Psychology,"$13,500",0.67,2020-2021,1st,,,"$13,500",,
7997,University of Wyoming (UW),Psychology,"$17,000",0.82,2020-2021,1st,,"$17,000",,,
7998,Cornell University (CU),Food Science,"$37,335",1.54,2020-2021,1st,,"$37,381",,,$46
7999,George Mason University (GMU),Computer Science,"$22,500",0.75,2020-2021,1st,,,"$22,500",,
8000,University of Delaware (UD),Computer Science,"$23,000",0.91,2020-2021,1st,,,"$23,000",,
8001,North Carolina State University (NCSU),Biomedical engineering ,"$33,500",1.47,2020-2021,1st,,"$33,500",,,
8002,University of Cincinnati (UC),Psychology ,"$17,000",0.88,2020-2021,1st,,"$17,000",,,
8003,University of California - San Francisco (UCSF),Epidemiology,"$41,200",1.38,2020-2021,1st,Funding tied to 15 hours/week work requirement,"$41,200",,,
8004,Harvard University (HU),Epidemiology,"$30,500",1.06,2020-2021,1st,"After 1st year, it increases to 36,000, dispursed over 12 months.  Have to TA 1 class at some point <span class=""truncated""> in the program.  </span>",,"$30,500",,
8005,University of Texas - Austin (UT),Mechanical Engineering,"$24,500",1.07,2020-2021,1st,,"$25,000",,,$500
8006,University of Texas - Austin (UT),Psychology,"$30,000",1.31,2020-2021,1st,,"$30,000",,,
8007,University of Texas - Austin (UT),Neuroscience,"$32,500",1.42,2020-2021,1st,,"$32,500",,,
8008,University of Pittsburgh,Biomedical Informatics,"$30,855",1.49,2020-2021,,,"$30,855",,,
8009,Clemson University (CU),Physics and Astronomy,"$20,000",0.96,2019-2020,1st,,,"$23,000",,"$3,000"
8010,University of Southern California (USC),Sociology,"$30,500",1.18,2020-2021,1st,,"$30,500",,,
8011,Vanderbilt University,Sociology,"$26,000",1.13,2020-2021,1st,,"$26,000",,,
8012,Pennsylvania State University (Penn State),Sociology,"$32,500",1.45,2020-2021,1st,,,"$30,000","$2,500",
8013,CUNY Graduate School and University Center,Sociology,"$26,612",0.89,2020-2021,1st,,"$26,612",,,
8014,University of Maryland - College Park (UMD),ME,"$30,500",1.01,2020-2021,1st,,"$32,000",,,"$1,500"
8015,University of Pennsylvania,MEAM/GRASP,"$34,500",1.43,2020-2021,,First year incoming PhD student,"$34,500",,,
8016,University of Minnesota - Twin Cities (UM),Clinical Psychology,"$22,000",0.96,2020-2021,1st,,"$22,000",,,
8017,Johns Hopkins University (JHU),Physics And Astronomy,"$33,000",1.28,2020-2021,3rd,,"$33,000",,,
8018,University of Oklahoma (OU),Journalism and Mass Communication,"$20,000",0.99,2020-2021,1st,"20k stipend/health insurance/750 travel seems to be a good deal in Oklahoma, but have to pay 2250+ <span class=""truncated""> fees per semester. </span>",,"$20,000",,
8019,University of Kentucky (UK),statistics,"$23,200",1.14,2018-2019,1st,,,"$20,000","$3,500",$300
8020,University of Connecticut (UConn),political science ,"$18,230",0.75,2020-2021,1st,"There are about $1,150 in grad student fees each semester. This does not cover health/dental. ","$18,230",,,
8021,Washington State University (WSU),Anthropology,"$14,665",0.78,2020-2021,,,,"$14,665",,
8022,Washington State University (WSU),Anthropology,"$14,665",0.78,2020-2021,,,,"$14,665",,
8023,University of California - San Francisco (UCSF),Biomedical Sciences,"$40,000",1.34,2020-2021,5th,,"$40,000",,,
8024,University of North Carolina - Chapel Hill (UNC),History,"$15,700",0.71,2020-2021,1st,"First three summers $3,000 each, fourth and fifth summers $2,000 each. Tuition, student fees, and <span class=""truncated""> student health insurance paid for five years (10 long semesters.) Research stipend of $2,000 upon reaching candidacy.</span>",,"$15,700",,
8025,Vanderbilt University,History PhD,"$25,500",1.11,2020-2021,1st,"Approximately $500 in student fees taken out of the stipend each year. Guaranteed funding for five <span class=""truncated""> years and university insurance premium paid for.</span>","$26,000",,,$500
8026,Vanderbilt University,History PhD,"$25,500",1.11,2020-2021,1st,"Approximately $500 in student fees taken out of the stipend each year. Guaranteed funding for five <span class=""truncated""> years and university insurance premium paid for.</span>","$26,000",,,$500
8027,University of Washington (UW),Political Science,"$20,184",0.87,2020-2021,1st,"This is my first offer for a program I&#39;ve been admitted to and is the standard amount. I intend to <span class=""truncated""> negotiate as I have a competing offer. </span>",,"$21,492",,"$1,308"
8028,University of Virginia (UVA),system engineering,"$30,000",1.31,2020-2021,5th,fellowship,"$30,000",,,
8029,University of North Carolina - Chapel Hill (UNC),"Ecology, Evolution, and Organismal Biology","$20,000",0.90,2020-2021,1st,,,"$20,000",,
8030,University of California - San Diego (UCSD),,"$34,000",1.28,2020-2021,1st,,"$34,000",,,
8031,University of Maryland - Baltimore (UMB),Epidemiology and Human Genetics,"$27,000",1.05,2020-2021,1st,,"$28,000",,,"$1,000"
8032,University of California - Berkeley,Earth and Planetary Science,"$40,196",1.45,2019-2020,1st,,"$40,196",,,
8033,University of Chicago (UC),Harris Public Policy,"$33,000",1.36,2020-2021,1st,,,"$33,000",,
8034,California Institute of Technology (Caltech),Electrical Engineering,"$37,500",1.45,2020-2021,1st,,"$37,500",,,
8035,Virginia Commonwealth University (VCU),Art History,"$10,000",0.40,2020-2021,,,,"$10,000",,
8036,Harvard University (HU),biology,"$25,000",0.87,2020-2021,5th,,,"$37,000",,"$12,000"
8037,University of Kentucky (UK),Economics,"$19,500",0.96,2020-2021,1st,,"$20,000",,,$500
8038,University of Kentucky (UK),Economics,"$19,500",0.96,2020-2021,1st,,"$20,000",,,$500
8039,Yale University (YU),Economics,"$41,000",1.66,2020-2021,,"The $42000 stipend from Yale must be wrong, it should be $41000 instead. ","$41,000",,,
8040,Princeton University,Economics,"$40,500",1.59,2020-2021,,,"$40,500",,,
8041,Texas A&amp;amp;M; University - College Station,CSE,"$24,000",,2020-2021,1st,2000 * 12,"$24,000",,,
8042,New Jersey Institute of Technology,biomedical engineering,"$26,000",0.96,2020-2021,1st,,"$26,000",,,
8043,Tufts University (TU),Biomedical Engineering,"$35,175",1.26,2020-2021,1st,,"$35,175",,,
8044,University of Minnesota - Twin Cities (UM),Applied plant sciences,"$23,070",1.01,2020-2021,1st,,"$24,870",,,"$1,800"
8045,Rice University,Chemical and Biomolecular Engineering,"$30,200",1.38,2020-2021,1st,,"$31,000",,,$800
8046,Texas Christian University (TCU),Chemistry &amp; Biochemistry,"$21,000",0.96,2020-2021,3rd,,"$21,000",,,
8047,Duke University (DU),Duke University,"$21,000",0.94,2020-2021,,,"$21,000",,,
8048,West Virginia University (WVU),economics,"$35,343",1.58,2020-2021,1st,,"$36,000",,,$657
8049,Yale University (YU),BBS ,"$37,300",1.51,2020-2021,,,"$37,300",,,
8050,Harvard University (HU),Comparative Literature,"$36,600",1.28,2020-2021,1st,,,"$30,500","$6,100",
8051,Purdue University - West Lafayette,Pharmacy Practice,"$21,500",1.02,2020-2021,1st,,,"$21,500",,
8052,university of Massachusetts Amherst,mechanical engineering,"$31,000",,2019-2020,1st,,"$31,000",,,
8053,University of Maryland - College Park (UMD),Geology,"$1,600",0.05,2020-2021,1st,,"$2,400",,,$800
8054,Texas Tech University (TTU),English ,"$15,250",0.75,2019-2020,4th,"Rent in the area is close to $1 per square foot. If you live inside city limits, your electric is <span class=""truncated""> monopolized by a city owned company; their minimum charge per month for using less than 500kwh is $150. Your average monthly bill is $275-300 for a single person in a 900sqft home. I am also severely anemic, so my A/C never drops below 74 and I’m on gas electric, so I only ever turn on my A/C from June 1 -September 15 otherwise it’s off. </span>",,"$16,150",,$900
8055,Michigan State University (MSU),Clinical Psychology,"$21,000",1.02,2020-2021,1st,,"$21,000",,,
8056,Case Western Reserve University,Clinical Psychology,"$12,000",0.60,2020-2021,1st,,"$12,000",,,
8057,Northwestern University (NU),Clinical Psychology,"$33,000",1.36,2020-2021,1st,,"$33,000",,,
8058,Vanderbilt University,Clinical Psychology,"$31,000",1.35,2020-2021,1st,,"$31,000",,,
8059,Florida State University (FSU),Clinical Psychology,"$27,000",1.16,2020-2021,1st,,"$27,000",,,
8060,Temple University (TU),Clinical Psychology,"$25,000",1.04,2020-2021,1st,,"$25,000",,,
8061,Stony Brook University - SUNY,Clinical Psychology,"$23,000",0.82,2020-2021,1st,,"$23,000",,,
8062,University of California - Los Angeles (UCLA),Clinical Psychology,"$27,000",1.04,2020-2021,1st,,"$27,000",,,
8063,Emory University,Clinical Psychology,"$31,000",1.33,2020-2021,1st,,"$31,000",,,
8064,University of California - Irvine (UCI),Computer Science,"$22,000",0.75,2020-2021,,,,"$40,000",,"$18,000"
8065,Stony Brook University - SUNY,Computer Science,"$30,000",1.07,2020-2021,1st,,,"$20,000","$10,000",
8066,Rice University,Physics,"$31,600",1.45,2019-2020,1st,,"$31,600",,,
8067,Rice University,Physics,"$31,600",1.45,2019-2020,1st,,"$31,600",,,
8068,University of Michigan - Ann Arbor (UM),Biological Engineering,"$51,000",2.21,2021-2022,1st,,"$51,000",,,
8069,University of Michigan - Ann Arbor (UM),biological enginering,"$51,000",2.21,2021-2022,1st,,"$51,000",,,
8070,University of Central Florida (UCF),Integrative and Conservation Biology,"$19,000",0.82,2020-2021,1st,,,"$19,000",,
8071,Arizona State University (ASU),Electrical engineering,"$21,400",0.96,2020-2021,1st,,,"$17,100","$5,100",$800
8072,Emory University,Epidemiology,"$31,087",1.33,2020-2021,1st,,"$31,775",,,$688
8073,Brown University,Epidemiology,"$35,900",1.58,2020-2021,1st,,"$35,900",,,
8074,Michigan State University (MSU),Microbiology,"$29,336",1.43,2018-2019,1st,"$21.50 fee per semester x 3 semesters a year (fall, summer, spring)
$133 campus parking per <span class=""truncated""> semester x 3 = $399
9 credit tuition waiver
Base health insurance included, vision and dental are extra
3 free lifetime psychiatry appointments
3 free general physician appointments per academic year</span>","$29,400",,,$64
8075,University of California - Davis (UCD),Microbiology Graduate Group,"$33,533",1.40,2020-2021,1st,Offered,"$33,533",,,
8076,Princeton University,Geosciences,"$37,500",1.48,2019-2020,3rd,TA makes slightly more,"$37,500",,,
8077,University of Utah,Computer Science,"$18,000",0.81,2020-2021,1st,"First year departmental fellowship. 80% Health insurance over and above the fellowship also <span class=""truncated""> provided.</span>",,"$18,000",,
8078,University of Massachusetts - Amherst (UMass),"Sociology, PhD","$21,500",0.94,2020-2021,1st,This is a TAship so teaching is reuired from the moment I arrive.,"$23,000",,,"$1,500"
8079,Harvard University (HU),"Graduate School of Education, PhD in Education","$36,500",1.27,2020-2021,1st,"First two years of Fellowship with no string attached, Y3 and Y4 tied to TA/RA type work, Y5 of <span class=""truncated""> guaranteed funding is dissertation writing year: no strings attached, but requires dissertation approval.</span>",,"$30,500","$6,000",
8080,Clemson University (CU),Electrical and Computer Engineering,"$20,000",0.96,2020-2021,1st,,,"$20,000",,
8081,University of California - Irvine (UCI),"Criminology, Law, &amp; Society","$24,911",0.85,2020-2021,1st,Student health insurance is covered,,"$21,911","$3,000",
8082,Stony Brook University - SUNY,Electrical engineering ,"$18,100",0.65,2020-2021,1st,,"$20,000",,,"$1,900"
8083,Georgia State University (GSU),Economics,"$24,000",1.03,2020-2021,1st,,"$24,000",,,
8084,Texas A&amp;amp;M; University - College Station,History,"$17,500",,2020-2021,1st,,,"$17,500",,
8085,University of Texas - Austin (UT),Microbiology,"$31,000",1.36,2019-2020,2nd,,"$31,000",,,
8086,University of Colorado - Boulder (UCB),political science ,"$22,750",0.89,2020-2021,1st,"Summer funding not guaranteed but I&#39;ve been told is plentiful.  Around 2k in grad student fees a <span class=""truncated""> year though :( </span>","$22,750",,,
8087,Syracuse University,political science ,"$21,000",0.98,2020-2021,1st,3 years of guaranteed funding at 4.5k a pop,"$21,000",,,
8088,University of Chicago (UC),economics,"$42,000",1.73,2020-2021,1st,,"$42,000",,,
8089,Yale University (YU),economics,"$42,000",1.70,2020-2021,1st,,"$42,000",,,
8090,Wayne State University,English,"$20,000",0.96,2020-2021,1st,,,"$20,000",,
8091,Montana State University (MSU),Statistics,"$17,800",0.85,2020-2021,1st,,,"$17,800",,
8092,University of Tulsa (TU),Math,"$1,490",0.08,2019-2020,1st,monthly stipend,"$1,490",,,
8093,University of Illinois - Urbana- Champaign (UIUC),Statistics,"$20,589",0.94,2020-2021,1st,,,"$20,589",,
8094,North Carolina State University (NCSU),Statistics,"$18,750",0.82,2020-2021,1st,,,"$18,750",,
8095,Northwestern University (NU),Operation Management,"$40,500",1.67,2020-2021,1st,,"$40,500",,,
8096,Northwestern University (NU),Operation Management,"$40,500",1.67,2020-2021,1st,,"$40,500",,,
8097,University of Texas - Austin (UT),Chemical Engineering,"$29,000",1.27,2020-2021,1st,,"$30,000",,,"$1,000"
8098,The Ohio State University,English,"$14,000",,2020-2021,1st,,"$15,000",,,"$1,000"
8099,University of Texas - Dallas (UTD),Computer Science,"$20,400",0.95,2020-2021,4th,,"$22,800",,,"$2,400"
8100,University of Texas - Austin (UT),Integrative Biology ,"$28,092",1.23,2020-2021,1st,,"$28,092",,,
8101,,Integrative Biology ,"$28,092",,2020-2021,1st,,"$28,092",,,
8102,University of Texas - Austin (UT),Integrative Biology ,"$2,341",0.10,2020-2021,1st,,"$2,341",,,
8103,Purdue University - West Lafayette,civil Engineering,"$22,400",1.06,2020-2021,2nd,,"$24,600",,,"$2,200"
8104,Harvard University (HU),math,"$26,000",0.91,2020-2021,,,"$30,000",,,"$4,000"
8105,University of Oklahoma (OU),business,"$30,000",1.49,2020-2021,1st,,"$30,000",,,
8106,Rochester Institute of Technology (RIT),Imaging Science,"$26,124",1.22,2020-2021,3rd,,"$26,124",,,
8107,University of California - Berkeley,Bioengineering/PhD,"$40,000",1.44,2019-2020,2nd,,"$40,000",,,
8108,University of California - Berkeley,Bioengineering/PhD,"$38,000",1.37,2018-2019,1st,,"$38,000",,,
8109,University of California - San Francisco (UCSF),Bioengineering/PhD,"$40,000",1.34,2019-2020,2nd,,"$40,000",,,
8110,University of California - San Francisco (UCSF),Bioengineering,"$38,000",1.27,2018-2019,1st,,"$38,000",,,
8111,University of California - San Francisco (UCSF),Bioengineering,"$40,000",1.34,2020-2021,2nd,,"$40,000",,,
8112,University of Alabama (UA),Educational Psychology ,"$13,550",0.64,2019-2020,2nd,,,"$13,750",,$200
8113,Florida State University (FSU),Political Science,"$21,325",0.91,2020-2021,1st,,,"$18,000","$4,000",$675
8114,Emory University,History,"$31,775",1.36,2020-2021,1st,,"$31,775",,,
8115,Columbia University (CU),History,"$35,100",1.18,2020-2021,,,,"$31,100","$4,000",
8116,Stanford University (SU),History,"$40,800",1.42,2020-2021,,,,"$33,800","$7,000",
8117,University of Chicago (UC),History,"$34,800",1.43,2020-2021,,,"$36,000",,,"$1,200"
8118,Case Western Reserve University,psychology ,"$12,000",0.60,2019-2020,1st,,"$12,000",,,
8119,University of Oregon (UO),English,"$14,616",0.70,2020-2021,1st,Pay increases through the years as you are promoted through the Graduate Employee ranks,,"$14,616",,
8120,University of Southern California (USC),Philosophy,"$30,400",1.17,2020-2021,5th,Extra summer funding around $2000,"$30,500",,,$100
8121,North Carolina State University (NCSU),Comparative Biomedical Sciences,"$27,000",1.18,2020-2021,2nd,Required fees are not taken out prior to taxation. Gross pay is taxed.,"$30,000",,,"$3,000"
8122,University of Cincinnati (UC),MCDB,"$28,000",1.45,2020-2021,1st,,"$28,000",,,
8123,University of Delaware (UD),Biological sciences ,"$26,666",1.05,2020-2021,1st,,"$26,666",,,
8124,,history,"$30,000",,2020-2021,,,"$30,000",,,
8125,Columbia University (CU),,"$30,000",1.01,2020-2021,,,"$30,000",,,
8126,,history,"$30,000",,2020-2021,,,"$30,000",,,
8127,University of California - Los Angeles (UCLA),,"$30,000",1.16,2020-2021,,,"$30,000",,,
8128,University of Miami (UM),sociology,"$22,950",0.96,2020-2021,1st,,,"$22,950",,
8129,University of Minnesota - Twin Cities (UM),economics,"$24,000",1.05,2020-2021,1st,,"$24,000",,,
8130,University of Chicago (UC),Anthropology,"$29,590",1.22,2019-2020,2nd,,,"$27,000","$4,000","$1,410"
8131,Boston University (BU),chemistry,"$36,000",1.26,2020-2021,1st,,"$36,000",,,
8132,University of Minnesota - Twin Cities (UM),Philosophy ,"$20,000",0.87,2020-2021,,,"$21,000",,,"$1,000"
8133,Duke University (DU),nursing,"$30,800",1.39,2020-2021,1st,"Funding guaranteed for 5 years, including health insurance, all fees, and summer funding.","$30,800",,,
8134,,,"$29,567",,2019-2020,1st,,"$29,567",,,
8135,University of Rochester (UR),Genetics,"$29,567",1.38,2019-2020,1st,,"$29,567",,,
8136,University of Chicago (UC),Philosophy PhD,"$29,635",1.22,2020-2021,1st,"In addition to the $31,000 stipend tuition and health insurance premiums are also covered","$31,000",,,"$1,365"
8137,University of Chicago (UC),Linguistics ,"$31,000",1.28,2020-2021,1st,,"$98,000",,,"$67,000"
8138,Duke University (DU),Nursing,"$4,544",0.20,2020-2021,1st,,"$98,269",,,"$93,725"
8139,University of Texas - Austin (UT),sociology,"$20,000",0.88,2020-2021,1st,,"$20,000",,,
8140,University at Buffalo - SUNY,Social Work ,"$28,000",1.33,2020-2021,,,,"$28,000",,
8141,University of California - Los Angeles (UCLA),Sociology ,"$29,000",1.12,2020-2021,1st,"Cota-Robles Fellowship from graduate division raises stipend to $25,000 instead of $24,000 for 9 <span class=""truncated""> months. $4,000 for summer is for first year only. </span>",,"$25,000","$4,000",
8142,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,"$30,000",1.35,2020-2021,1st,Performing a lab rotation for the 1st year.,"$34,000",,,"$4,000"
8143,University of Texas - Austin (UT),Economics,"$20,000",0.88,2020-2021,1st,,"$20,000",,,
8144,University of Michigan - Ann Arbor (UM),Macromolecular Science and Engineering,"$33,000",1.43,2020-2021,1st,Health insurance 100% covered by the department. ,"$33,000",,,
8145,University of Miami (UM),Business,"$32,225",1.35,2020-2021,1st,,"$32,225",,,
8146,University of Southern California (USC),Molecular and Computational Biology,"$31,898",1.23,2019-2020,5th,,"$32,000",,,$102
8147,University of Southern California (USC),Molecular and Computational Biology,"$31,904",1.23,2018-2019,4th,,"$32,000",,,$96
8148,University of Southern California (USC),Molecular and Computational Biology,"$29,904",1.16,2017-2018,3rd,,"$30,000",,,$96
8149,University of Southern California (USC),Molecular and Computational Biology,"$29,874",1.15,2016-2017,2nd,,"$30,000",,,$126
8150,University of Southern California (USC),Molecular and Computational Biology,"$29,885",1.15,2015-2016,1st,,"$30,000",,,$115
8151,University of California - Santa Barbara (UCSB),Film Studies ,"$23,000",0.88,2020-2021,1st,Not a great package. ,,"$23,000",,
8152,Portland State University (PSU),I/O Psychology,"$9,220",0.39,2020-2021,1st,,"$11,220",,,"$2,000"
8153,SUNY College of Environmental Science and Forestry,EFB,"$12,288",0.58,2019-2020,1st,This is the pay for developing research while having 20 hours of teaching responsibility per week,,"$12,288",,
8154,Vanderbilt University,,"$31,900",1.39,2020-2021,4th,,,"$28,500","$4,000",$600
8155,Clemson University (CU),Economics ,"$24,600",1.18,2020-2021,1st,,,"$27,000",,"$2,400"
8156,Pennsylvania State University (Penn State),Anthropology,"$30,000",1.34,2019-2020,1st,,"$30,000",,,
8157,Princeton University,Politics,"$35,500",1.40,2020-2021,1st,,"$35,500",,,
8158,North Carolina State University (NCSU),Chemistry ,"$23,500",1.03,2020-2021,1st,Required to pay student fee,"$25,500",,,"$2,000"
8159,University of South Carolina (USC),Chemistry,"$26,000",1.15,2020-2021,1st,,"$26,000",,,
8160,University of Toronto ,Biochemistry ,"$22,200",,2020-2021,1st,,"$30,000",,,"$7,800"
8161,Northwestern University (NU),Chemistry ,"$33,504",1.38,2020-2021,1st,"I have an additional fellowship that is $10,000/year, so actually making $43,504 before taxes","$33,504",,,
8162,Stony Brook University - SUNY,Computer Science,"$17,500",0.63,2020-2021,1st,,,"$20,000",,"$2,500"
8163,University of Georgia (UGA),Institute of Bioinformatics,"$23,447",1.11,2020-2021,6th and up,,"$27,416",,,"$3,969"
8164,Northwestern University (NU),Materials Science and Engineering,"$33,504",1.38,2020-2021,1st,NSF Fellow. Additional Health insurance.,"$33,504",,,
8165,University of California - Berkeley,Materials Science and Engineering,"$35,485",1.28,2020-2021,1st,"NSF Fellow, GSR (Graduate Student Researcher) position. Additional Health and dental insurance. <span class=""truncated""> Summer months have higher distribution. </span>","$35,485",,,
8166,Stanford University (SU),Materials Science and Engineering,"$43,000",1.50,2020-2021,1st,Base Rate. Not including additional 50% insurance subsidy. ,"$43,000",,,
8167,Stanford University (SU),Materials Science and Engineering,"$47,200",1.64,2020-2021,1st,"NSF Fellow, allotted higher stipend compared to base rate. Not including additional 50% insurance <span class=""truncated""> subsidy. </span>","$47,200",,,
8168,Princeton University,political science,"$35,500",1.40,2020-2021,1st,,"$35,500",,,
8169,Stony Brook University - SUNY,Ecology and Evolution,"$18,600",0.67,2020-2021,,,,"$20,000",,"$1,400"
8170,Dartmouth College,Psychological &amp; Brain Sciences,"$31,080",1.25,2020-2021,1st,,"$31,080",,,
8171,University of Chicago (UC),Divinity/PhD,"$29,752",1.23,2020-2021,1st,,"$31,000",,,"$1,248"
8172,University of Virginia (UVA),Materials Science and Engineering,"$25,000",1.09,2020-2021,2nd,,"$25,000",,,
8173,University of Tulsa (TU),Mechanical Engineering,"$25,875",1.30,2019-2020,2nd,,"$25,875",,,
8174,University of Texas - Austin (UT),,"$40,000",1.75,2020-2021,1st,,"$40,000",,,
8175,University of Pennsylvania,Electrical and Systems Engineering,"$35,000",1.45,2020-2021,1st,,"$35,000",,,
8176,University of North Carolina - Chapel Hill (UNC),Health Behavior,"$15,700",0.71,2020-2021,1st,,,"$15,700",,
8177,Sam Houston State University,Criminal Justice ,"$25,100",1.25,2020-2021,1st,"20K for academic year, 6.6K during the summer months. Health insurance not covered ","$26,600",,,"$1,500"
8178,University of Pennsylvania,BMB,"$35,500",1.47,2020-2021,1st,,"$35,500",,,
8179,University of California - San Diego (UCSD),Chemistry,"$34,000",1.28,2020-2021,3rd,,"$34,000",,,
8180,University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering,"$26,400",1.20,2020-2021,1st,11 months of support. Tuition waiver and partial fee waiver.,"$26,400",,,
8181,University of California - San Diego (UCSD),VisualArts,"$17,239",0.65,2020-2021,1st,,"$31,406",,,"$14,167"
8182,Cornell University (CU),Chemistry,"$36,306",1.50,2020-2021,1st,,"$36,306",,,
8183,University of Pennsylvania,,"$25,080",1.04,2020-2021,1st,,,"$22,680","$3,000",$600
8184,Rice University,Bioengineering,"$31,075",1.42,2020-2021,1st,,"$32,500",,,"$1,425"
